,name,nickname
1129,madeleine,maddy
1130,magdalene,maddy
1131,maggie,mags
1132,mamie,mayme
1133,marilla,rilla
1134,martha,matty
1135,martina,marty
1136,mary,jo
1137,mary,may
1138,mary,mayme
1139,mary,mollie
1140,matilda,mattie
1141,matilda,tillie
1142,mattie,matty
1143,maud,maudie
1144,maude,maudie
1145,mavis,mamie
1146,maxine,maxie
1147,maxine,maxy
1148,megan,meg
1149,megan,meggie
1150,melanie,mel
1151,melinda,mendy
1152,michaela,mickey
1153,michaela,micky
1154,michelle,micky
1155,michelle,shell
1156,mikaela,mickey
1157,mikaela,micky
1158,mildred,millie
1159,miranda,mindy
1160,molly,mollie
1161,molly,polly
1162,nancy,nance
1163,natalie,nat
1164,natalya,nat
1165,natasha,nat
1166,natasha,tash
1167,natasha,tasha
1168,nellie,nelly
1169,nichola,nic
1170,nicola,nic
1171,nicola,nicki
1172,nicola,nicky
1173,nicola,nikki
1174,nicole,nic
1175,nicole,nicki
1176,nicole,nicky
1177,nicole,nikki
1178,noreen,norrie
1179,norette,norrie
1180,olivia,livvy
1181,olwen,ollie
1182,pamela,pammy
1183,patricia,patti
1184,patricia,trish
1185,patricia,trisha
1186,patricia,trixie
1187,patty,patti
1188,peggy,peg
1189,philippa,phil
1190,philippa,pip
1191,philippa,pippa
1192,philomena,phil
1193,rachel,rae
1194,rachel,ray
1195,rae,dannie
1196,rae,ray
1197,rebecca,becki
1198,rebecca,beki
1199,roberta,bobbi
1200,roberta,bobby
1201,roberta,robbi
1202,roberta,robby
1203,rose,rosie
1204,roxana,roxy
1205,roxane,roxy
1206,roxanne,roxy
1207,saffron,saffy
1208,sally,sal
1209,samantha,sam
1210,samantha,sammi
1211,samantha,sammie
1212,samantha,sammy
1213,shelley,shelly
1214,stacey,stace
1215,stephanie,stef
1216,stephanie,steff
1217,stephanie,steffi
1218,stephanie,steffie
1219,stephanie,steffy
1220,stephanie,steph
1221,stephanie,stephie
1222,stephanie,steve
1223,stephanie,stevie
1224,susan,su
1225,susan,susy
1226,susan,suzi
1227,susan,suzy
1228,susanna,suze
1229,terry,terri
1230,terry,terrie
1231,theodora,theo
1232,theresa,teri
1233,theresa,tessy
1234,tisha,tish
1235,trudy,trudi
1236,trudy,trudie
1237,victoria,vickey
1238,victoria,vickie
1239,victoria,vikki
1240,viola,vi
1241,violet,vi
1242,virginia,ging
1243,ace,acey
1244,ace,acie
1245,alan,allie
1246,alban,alby
1247,alex,al
1248,alex,lex
1249,alexander,alec
1250,alexander,aleck
1251,alexander,elsie
1252,alexander,lex
1253,alexander,sander
1254,alexander,sawney
1255,alexander,xan
1256,alexander,zander
1257,alfonso,alf
1258,alfonso,alfie
1259,alfonso,alfy
1260,alfonzo,alf
1261,alfonzo,alfie
1262,alfonzo,alfy
1263,alfonzo,fonz
1264,alfonzo,fonzie
1265,alfred,alf
1266,alfred,alfie
1267,alfred,alfy
1268,alfred,allie
1269,alfred,ally
1270,alistair,allie
1271,alonzo,lonnie
1272,alonzo,lonny
1273,alvin,allie
1274,alvin,alvie
1275,alvin,alvy
1276,ambrose,ambers
1277,ambrose,ambie
1278,ambrose,amby
1279,ambrose,brose
1280,arthur,arfie
1281,arthur,artie
1282,arthur,arty
1283,barnaby,barney
1284,barry,baz
1285,barry,bazza
1286,bartholomew,batt
1287,basil,baz
1288,basil,bazza
1289,benjamin,benji
1290,benjamin,benjie
1291,benjamin,benny
1292,bert,bertie
1293,bertram,bertie
1294,bradley,brad
1295,bradly,brad
1296,brian,bri
1297,caden,cade
1298,caleb,cal
1299,caleb,cale
1300,chadwick,chad
1301,charles,chad
1302,charles,charley
1303,charles,chas
1304,charles,chaz
1305,charles,chip
1306,chauncey,chance
1307,christian,kris
1308,christopher,chip
1309,christopher,christie
1310,christopher,kris
1311,clayton,clay
1312,clement,clemmie
1313,cyrus,cy
1314,daniel,dani
1315,danny,dan
1316,danny,dani
1317,danny,dannie
1318,david,davie
1319,david,davo
1320,david,davy
1321,dennis,den
1322,derek,del
1323,dermot,jeremy
1324,desmond,des
1325,diarmaid,dermot
1326,diarmaid,jeremy
1327,diarmid,diarmi
1328,diarmid,dermot
1329,diarmid,jeremy
1330,don,donnie
1331,don,donny
1332,donovan,donny
1333,duncan,dunky
1334,edward,teddie
1335,emmanuel,mannie
1336,emmanuel,manny
1337,enrico,rico
1338,fernando,nando
1339,franklin,frankie
1340,gareth,gar
1341,gareth,gare
1342,gareth,gary
1343,george,geordie
1344,george,georgie
1345,gerard,ged
1346,gerard,gerry
1347,gerard,jerry
1348,gilford,gil
1349,gordon,don
1350,gordon,gordie
1351,gordon,gordy
1352,gregor,greg
1353,greig,greg
1354,gustav,gus
1355,harry,hal
1356,heathcliff,heath
1357,herbert,herbie
1358,howard,howie
1359,hugh,huey
1360,hugh,hughie
1361,indiana,indy
1362,isidore,dore
1363,jack,jackie
1364,jack,jacko
1365,jack,jacky
1366,jack,jak
1367,james,jake
1368,james,jamey
1369,james,jay
1370,james,jimbo
1371,james,jimi
1372,james,jimmer
1373,jeffery,jeff
1374,jeremiah,jem
1375,jeremiah,jeremy
1376,jeremy,jem
1377,jeremy,jerry
1378,jeremy,jez
1379,jerrold,jerry
1380,jesse,jess
1381,jimmy,jim
1382,jimmy,jimi
1383,johannes,joh
1384,john,jackie
1385,john,jacky
1386,john,johnnie
1387,john,jon
1388,jonathan,jon
1389,jonathan,jonty
1390,joseph,jo
1391,joseph,pepe
1392,kennedy,ken
1393,kennedy,kenny
1394,kester,kit
1395,kevin,kev
1396,kipling,kip
1397,kurtis,kurt
1398,laurence,lauren
1399,laurence,laurie
1400,laurence,law
1401,lawrence,lauren
1402,lawrence,laurie
1403,lawrence,law
1404,lawrence,lawrie
1405,leo,lee
1406,leslie,lez
1407,louis,lou
1408,louis,louie
1409,marcus,marc
1410,mark,marky
1411,matthew,mat
1412,max,mac
1413,max,mack
1414,max,maxie
1415,max,maxy
1416,maximilian,max
1417,maxwell,max
1418,melvin,mel
1419,melvyn,mel
1420,mervin,merv
1421,michael,mickey
1422,michael,mikey
1423,montague,monty
1424,morris,mo
1425,morris,moe
1426,mortimer,mort
1427,morton,mort
1428,moses,mo
1429,moses,moe
1430,moshe,moishy
1431,nathanael,nat
